雪佛兰 迈锐宝 2014款 1.6T 自动舒适版,2014-04,6.83万公里,1.6T,自动,6.79
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,2016-11,3.48万公里,1.8L,自动,6.50
福特 翼搏 2017款 1.5L 自动风尚型,2017-08,3.79万公里,1.5L,自动,6.42
福特 福克斯 2012款 两厢 1.6L 自动风尚型,2014-08,8.04万公里,1.6L,自动,6.33
雪佛兰 科鲁兹 2011款 1.6L SE AT,2010-12,6.19万公里,1.6L,自动,3.06
雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座,2014-02,9.62万公里,2.4L,自动,7.31
福特 蒙迪欧 2013款 2.0L GTDi200豪华型,2013-11,5.1万公里,2.0T,自动,9.77
别克 英朗 2013款 XT 1.6L 自动舒适版,2013-09,3.97万公里,1.6L,自动,5.38
福特 福克斯 2012款 两厢经典 1.8L 自动基本型,2014-01,5.73万公里,1.8L,自动,4.47
日产 天籁 2014款 2.5L XL Upper科技版,2015-09,6.31万公里,2.5L,自动,14.24
现代ix25 2015款 1.6L 自动两驱尊贵型DLX,2015-02,4.22万公里,1.6L,自动,8.06
本田 雅阁 2015款 2.0L LX 舒适版,2015-07,6.29万公里,2.0L,自动,11.91
福特 翼搏 2013款 1.5L 自动风尚型,2015-05,5万公里,1.5L,自动,5.27
起亚 智跑 2015款 2.0L 自动两驱版GL,2016-02,7.42万公里,2.0L,自动,7.91
斯巴鲁 傲虎 2012款 2.5i运动版,2013-05,10.99万公里,2.5L,自动,12.65
MINI 2011款 1.6L COOPER Excitement,2013-01,7.4万公里,1.6L,自动,12.37
现代 名图 2014款 1.8L 自动尊贵型DLX,2015-12,9.66万公里,1.8L,自动,7.91
丰田 卡罗拉 2013款 特装版 1.6L 自动至酷型GL,2013-11,6.91万公里,1.6L,自动,6.79
英菲尼迪G系列 2013款 G25 Sedan 豪华运动版(进口),2013-01,11.83万公里,2.5L,自动,14.42
日产 轩逸 2012款 1.6XL CVT豪华版,2014-02,9.29万公里,1.6L,自动,8.36
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,2014-07,5.82万公里,1.8L,自动,5.12
宝马3系 2014款 320i 进取型,2014-06,5.68万公里,2.0T,自动,15.35
本田CR-V 2010款 2.0L 自动四驱经典版,2011-03,11.11万公里,2.0L,自动,8.28
日产 天籁 2013款 2.0L XL舒适版,2013-04,8.66万公里,2.0L,自动,10.23
大众 速腾 2014款 改款 1.4TSI 自动豪华型,2015-01,5.25万公里,1.4T,自动,8.84
本田 凌派 2013款 1.8L 自动豪华版,2015-02,6.16万公里,1.8L,自动,8.46
奥迪A4L 2011款 2.0 TFSI 舒适型,2011-09,11.94万公里,2.0T,自动,9.10
丰田 凯美瑞 2012款 骏瑞 2.0S 耀动版,2013-10,5.19万公里,2.0L,自动,11.75
大众 途观 2010款 1.8TSI 自动两驱都会版,2011-01,7.13万公里,1.8T,自动,7.07
起亚K5 2012款 2.0L 自动DLX,2013-05,6.22万公里,2.0L,自动,7.26
奥迪Q5 2011款 2.0TFSI 技术型,2011-09,12.64万公里,2.0T,自动,15.70
起亚 索兰托 2012款 2.4L 汽油豪华版(进口),2013-05,10.48万公里,2.4L,自动,10.05
奥迪A3 2013款 Sportback 30 TFSI 舒适型(进口),2013-07,9.18万公里,1.4T,自动,11.16
斯柯达Yeti 2014款 1.4TSI DSG极地版,2014-01,9.36万公里,1.4T,自动,7.07
日产 奇骏 2014款 2.0L CVT智领版 2WD,2014-04,15.23万公里,2.0L,自动,11.07
日产 逍客 2012款 2.0XL 火 CVT 2WD,2014-01,10.04万公里,2.0L,自动,6.59
起亚K5 2012款 2.0L 自动DLX,2012-09,13.06万公里,2.0L,自动,7.43
宝马5系 2011款 523Li 豪华型,2011-08,14.87万公里,2.5L,自动,15.25
本田 思域 2012款 1.8L 自动豪华版,2012-01,10.14万公里,1.8L,自动,7.44
传祺GS5 2014款 2.0L 自动两驱超享版,2015-01,6.78万公里,2.0L,自动,5.93
现代 朗动 2013款 1.6L 自动领先型,2014-09,4.76万公里,1.6L,自动,6.39
马自达 睿翼 2012款 2.0L 自动精英版,2012-09,6.37万公里,2.0L,自动,5.86
别克 威朗 2015款 三厢 15S 手动领先型,2016-09,4.4万公里,1.5L,手动,6.51
斯柯达 昊锐 2009款 1.8TSI 自动优雅版,2011-02,6.66万公里,1.8T,自动,5.58
MG6 2013款 掀背 1.8L 自动驾值版,2013-01,10.48万公里,1.8L,自动,3.61
长城C20R 2013款 1.5L 手动都市型,2014-04,2.04万公里,1.5L,手动,2.79
川汽野马 野马T70 2016款 升级版 1.8L 手动精英型,2016-04,10.32万公里,1.8L,手动,3.79
马自达3星骋 2012款 两厢 1.6L 自动精英型,2012-05,8.15万公里,1.6L,自动,5.68
大众 高尔夫 2011款 1.6 自动舒适型,2012-01,10.73万公里,1.6L,自动,6.14
起亚 智跑 2012款 2.0L 自动两驱版GL,2012-07,14.95万公里,2.0L,自动,5.64
别克 英朗 2015款 15N 自动豪华型,2016-03,5.45万公里,1.5L,自动,6.30
日产 天籁 2008款 2.5L XL领先版,2010-06,12.38万公里,2.5L,自动,6.18
日产 骐达 2011款 1.6L CVT智能型,2014-07,10.95万公里,1.6L,自动,6.61
大众POLO 2013款 1.6L 自动舒适版,2014-06,6.56万公里,1.6L,自动,5.12
本田 飞度 2014款 1.5L LX CVT舒适型,2014-08,6.23万公里,1.5L,自动,5.57
别克 君越 2013款 2.0T SIDI 智享旗舰型,2014-10,15.21万公里,2.0T,自动,10.51
奇瑞 瑞虎3 2016款 1.6L CVT智尚版,2015-12,3.76万公里,1.6L,自动,4.56
别克 英朗 2016款 15N 自动精英型,2016-05,4.55万公里,1.5L,自动,5.86
别克 昂科威 2016款 20T 两驱精英型,2016-11,6.29万公里,1.5T,自动,12.28
日产NV200 2016款 1.6L 手动豪华型,2016-03,6.24万公里,1.6L,手动,7.35
日产 轩逸 2009款 1.6XL 自动豪华天窗版,2010-07,9.31万公里,1.6L,自动,4.36
现代 朗动 2012款 1.6L 自动时尚型,2013-06,8.32万公里,1.6L,自动,5.40
传祺GS5 2012款 2.0L 自动两驱周年纪念版,2013-07,8.07万公里,2.0L,自动,5.40
别克 英朗 2018款 15T 手动精英型 国V,2018-03,1.87万公里,1.0T,手动,5.94
哈弗H1 2015款 1.5L AMT都市型,2015-02,5.21万公里,1.5L,自动,3.71
本田 锋范经典 2012款 1.5L 自动精英版,2014-08,6.26万公里,1.5L,自动,5.29
日产 逍客 2010款 20X雷 CVT 2WD,2011-01,10.14万公里,2.0L,自动,5.57
凯迪拉克ATS-L 2016款 28T 技术型,2016-11,4.07万公里,2.0T,自动,14.70
长城 风骏5 2017款 2.0T欧洲版柴油两驱精英型大双排GW4D20D,2019-06,0.58万公里,2.0T,手动,7.84
长安 逸动 2015款 XT 1.6L 自动俊酷型 国IV,2015-07,6.82万公里,1.6L,自动,4.65
传祺GM6 2019款 270T 自动尊贵版（七座）国V,2019-02,0.16万公里,1.5T,自动,13.95
福特 福睿斯 2015款 1.5L 自动时尚型,2016-07,4.61万公里,1.5L,自动,6.05
凯迪拉克ATS-L 2014款 28T 精英型,2015-01,6.75万公里,2.0T,自动,13.72
大众 朗逸 2011款 1.6L 手动品雅版,2011-04,6.83万公里,1.6L,手动,3.43
大众POLO 2011款 劲取 1.6L 手动实酷版,2012-02,7.22万公里,1.6L,手动,3.33
大众POLO 2011款 1.4L 手动致乐版,2012-11,8.73万公里,1.4L,手动,3.35
凯迪拉克ATS-L 2017款 28T 技术型,2017-07,3.92万公里,2.0T,自动,16.74
长城 风骏5 2017款 2.0T欧洲版柴油两驱精英型大双排GW4D20D,2019-06,1.26万公里,2.0T,手动,7.75
雪佛兰 科鲁泽 2019款 Redline 320T 双离合欢快版 国VI,2019-12,0.17万公里,1.0T,自动,8.56
启辰D50 2013款 1.6L 手动时尚版,2015-02,2.21万公里,1.6L,手动,3.59
别克 昂科威 2014款 28T 四驱豪华型,2015-01,11.03万公里,2.0T,自动,13.84
福特 福睿斯 2015款 1.5L 自动时尚型,2015-12,6.52万公里,1.5L,自动,6.98
吉利 远景 2018款 1.5L 自动幸福版,2018-04,2.23万公里,1.5L,自动,5.68
日产 骊威 2013款 1.6XE 手动舒适版,2015-03,12.11万公里,1.6L,手动,3.82
斯柯达 柯珞克 2018款 TSI280 豪华版 国V,2018-06,0.54万公里,1.4T,自动,12.08
荣威ei6 2019款 PLUS 50T 互联网荣耀旗舰版,2019-08,0.31万公里,1.5T,自动,12.08
丰田C-HR 2018款 2.0L 领先版 国VI,2019-09,0.54万公里,2.0L,自动,12.28
长安 逸动 2014款 1.6L 手动豪华型,2016-01,3.53万公里,1.6L,手动,3.71
宝骏310 2016款 1.2L 手动超值型,2018-09,3.72万公里,1.2L,手动,2.98
北汽绅宝 绅宝X55 2016款 1.5L 手动精英版,2016-04,5万公里,1.5L,手动,3.45
北汽绅宝 绅宝X25 2015款 1.5L 手动精英型,2016-12,3.04万公里,1.5L,手动,3.35
丰田 奕泽IZOA 2018款 2.0L 奕驰版 国V,2018-09,0.8万公里,2.0L,自动,11.91
本田 思域 2016款 220TURBO CVT豪华版,2019-03,1万公里,1.5T,自动,12.84
本田XR-V 2017款 1.8L EXi CVT舒适版,2019-03,0.92万公里,1.8L,自动,12.88
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,2014-12,6.97万公里,2.0L,自动,7.44
日产 轩逸 2018款 经典 1.6XE+ 手动领先版,2018-10,1.14万公里,1.6L,手动,6.14
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2020-01,0.01万公里,1.5L,自动,6.42
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.49
MG 锐行 2016款 1.5L 自动超值豪华版,2019-12,0.01万公里,1.5L,自动,6.49
本田 思域 2016款 220TURBO CVT尊贵版,2017-03,2.23万公里,1.5T,自动,15.58
大众 迈腾 2017款 330TSI DSG 领先型,2017-08,2.11万公里,1.8T,自动,15.80
日产 途达 2018款 2.5L 自动两驱豪华版,2018-10,2.27万公里,2.5L,自动,15.81
宝马7系 2014款 730Li 臻享型(进口),2015-04,6.66万公里,3.0L,自动,39.06
奥迪A5 2012款 2.0TFSI Coupe quattro(进口),2013-05,6.03万公里,2.0T,自动,18.51
海马M3 2016款 1.5L 手动时尚型,2018-01,2.24万公里,1.5L,手动,3.54
哈弗H2 2017款 蓝标 1.5T 手动两驱豪华型,2016-12,6.35万公里,1.5T,手动,5.58
本田 锋范 2017款 1.5L CVT舒适版,2018-10,1.14万公里,1.5L,自动,6.79
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国V,2018-07,2.02万公里,2.0L,自动,13.01
本田 思域 2016款 220TURBO CVT豪华版,2018-03,2.38万公里,1.5T,自动,12.65
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-10,4.14万公里,1.6L,手动,4.56
长安 逸动 2016款 1.6L 手动风尚型,2017-03,4.53万公里,1.6L,手动,4.36
五菱宏光 2018款 1.5L 经典款S基本型,2017-07,5.95万公里,1.5L,手动,4.05
日产 阳光 2014款 1.5XE 手动舒适版,2016-08,7.66万公里,1.5L,手动,4.28
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017-11,1.18万公里,1.6L,自动,7.54
宝马5系 2014款 525Li 豪华设计套装,2015-01,5.46万公里,2.0T,自动,26.04
中华V3 2016款 1.5T 手动精英型,2016-12,3.51万公里,1.5T,手动,5.23
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-01,3.57万公里,1.6L,手动,5.08
福特 撼路者 2016款 2.0T 汽油自动两驱豪华版,2016-06,4.89万公里,2.0T,自动,14.95
丰田 汉兰达 2013款 2.7L 两驱7座探索版,2014-02,12.03万公里,2.7L,自动,17.67
哈弗H6 2017款 蓝标 运动版 1.5T 自动两驱豪华型,2017-01,1.56万公里,1.5T,自动,7.71
宝骏730 2016款 1.5L 手动豪华型 7座,2016-04,4.72万公里,1.5L,手动,5.40
凯迪拉克XTS 2017款 28T 技术型,2017-01,10.48万公里,2.0T,自动,16.74
大众POLO 2014款 1.6L 自动舒适版,2016-01,2.47万公里,1.6L,自动,6.40
江淮 瑞风S3 2017款 1.6L CVT豪华智能型,2017-01,3.42万公里,1.6L,自动,5.85
宝骏510 2017款 1.5L 手动时尚型,2018-02,5.8万公里,1.5L,手动,4.73
福特 锐界 2016款 EcoBoost 245 两驱铂锐型 7座,2017-01,9.22万公里,2.0T,自动,16.44
马自达3星骋 2015款 三厢 1.6L 手动精英型,2016-01,6.75万公里,1.6L,手动,5.01
宝骏510 2017款 1.5L 手动豪华型,2017-10,5.08万公里,1.5L,手动,4.98
日产 骐达 2019款 1.6L CVT智享版 国V,2019-01,1.1万公里,1.6L,自动,9.87
大众 宝来 2018款 1.5L 自动时尚型,2018-02,1.87万公里,1.5L,自动,7.43
五菱宏光S3 2018款 1.5L 手动舒适型 国V,2018-01,2.75万公里,1.5L,手动,6.01
大众 途观L 2018款 330TSI 自动两驱豪华版,2018-06,2.28万公里,2.0T,自动,17.77
大众 迈腾 2019款 330TSI DSG 豪华型 国V,2018-11,3.14万公里,2.0T,自动,16.56
传祺GA6 2016款 235T DCT豪华版,2018-10,2.64万公里,1.5T,自动,7.91
比亚迪 宋 2016款 2.0TID 自动豪华型,2017-04,5.57万公里,2.0T,自动,5.94
本田 飞度 2014款 1.5L LX CVT舒适型,2015-01,4.58万公里,1.5L,自动,5.86
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国VI,2019-09,0.87万公里,1.5L,自动,10.98
本田 缤智 2017款 1.5L CVT两驱舒适型,2019-03,0.98万公里,1.5L,自动,11.38
大众 高尔夫 2017款 280TSI 自动R-Line百万辆纪念版,2017-10,3.94万公里,1.4T,自动,12.84
大众 途观 2016款 300TSI 自动两驱风尚版,2016-12,3.2万公里,1.8T,自动,12.84
本田 杰德 2016款 1.8L 自动舒适精英版 5座,2016-08,3.32万公里,1.8L,自动,12.56
大众 朗逸 2015款 1.6L 手动风尚版,2016-01,12.44万公里,1.6L,手动,5.57
哈弗H4 2018款 蓝标 1.5GDIT DCT风尚型,2018-04,0.48万公里,1.5T,自动,8.19
